id,date,time,condition,npi_total,sex,age,npi_1,npi_2,filler_1,npi_3,npi_4,npi_5,filler_2,npi_6,npi_7,npi_8,filler_3,npi_9,npi_10,npi_11,npi_12,npi_13,filler_4,npi_14,npi_15,npi_16,filler_5,npi_17,npi_18,filler_6,npi_19,npi_20,npi_21,filler_7,npi_22,npi_23,npi_24,filler_8,npi_25,npi_26,npi_27,filler_9,npi_28,npi_29,npi_30,filler_10,npi_31,npi_32,npi_33,filler_11,npi_34,npi_35,npi_36,filler_12,npi_37,npi_38,npi_39,filler_13,npi_40,certain_of_guess
70,12/8/2016,13:37:25,2,7,1,18,2,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1
71,12/8/2016,15:33:47,1,18,1,18,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,3
72,12/8/2016,15:51:10,3,9,1,21,1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,3
73,12/8/2016,17:00:08,3,12,1,20,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,2,3
74,12/8/2016,17:35:14,1,16,1,20,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2
75,12/8/2016,17:58:27,2,8,1,19,2,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2
76,12/8/2016,18:38:56,3,5,0,19,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,4
77,12/8/2016,18:58:51,2,27,1,19,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,4
78,12/9/2016,10:37:29,1,10,1,18,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,1,2,2,2,1,1,2
79,12/9/2016,10:55:47,3,19,1,18,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,3
80,12/9/2016,12:14:55,1,21,0,23,1,1,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,3
81,12/9/2016,12:38:15,2,22,1,18,1,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2
82,12/9/2016,13:00:12,2,5,1,20,2,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2
83,2/1/2017,13:41:41,1,14,0,23,2,2,2,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,4
84,2/1/2017,14:07:45,3,11,1,26,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,4
85,2/13/2017,17:08:17,1,22,0,20,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,2,6
86,2/13/2017,19:41:45,2,14,1,23,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2
87,2/15/2017,15:32:25,3,20,1,21,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,4
88,2/15/2017,16:56:47,3,22,1,19,1,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2
89,2/15/2017,17:29:44,1,15,1,22,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1
90,2/15/2017,19:26:02,2,22,1,21,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,1,2,2
91,2/22/2017,15:32:28,1,10,1,21,1,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,2
92,2/22/2017,17:12:40,3,10,1,19,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,3
93,2/22/2017,17:28:22,2,9,1,19,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,1
